Campaign,Ad Group,Status,Max CPC
[w] CMARCENEIRO | GG | SEARCH | PUXADORES | LEADS,PUXADORES | COMPRA | GERAL,Paused,3.50
[w] CMARCENEIRO | GG | SEARCH | PUXADORES | LEADS,PUXADORES | COMPRA | INOX,Paused,3.50
[w] CMARCENEIRO | GG | SEARCH | PUXADORES | LEADS,PUXADORES | COMPRA | ALUMINIO,Paused,3.50
[w] CMARCENEIRO | GG | SEARCH | PUXADORES | LEADS,PUXADORES | COMPRA | ARMARIO-COZINHA,Paused,3.50
[w] CMARCENEIRO | GG | SEARCH | MDF | LEADS,MDF | ORCAMENTO | CHAPAS,Paused,3.50
[w] CMARCENEIRO | GG | SEARCH | MDF | LEADS,MDF | ORCAMENTO | CRU,Paused,3.50
[w] CMARCENEIRO | GG | SEARCH | MDF | LEADS,MDF | ORCAMENTO | REVESTIDO,Paused,3.50
[w] CMARCENEIRO | GG | SEARCH | FERRAGENS | LEADS,FERRAGENS | COMPRA | DOBRADICAS,Paused,3.50
[w] CMARCENEIRO | GG | SEARCH | FERRAGENS | LEADS,FERRAGENS | COMPRA | CORREDICAS,Paused,3.50
[w] CMARCENEIRO | GG | SEARCH | FERRAGENS | LEADS,FERRAGENS | COMPRA | MARCENARIA-GERAL,Paused,3.50
